Internal.Interview.Numbers,A.Quiet.Place.Part.II,Mulan,My.Spy,Saint.Maud,The.New.Mutants,The.High.Note,Scoob.,The.SpongeBob.Movie..Sponge.on.the.Run,Antebellum,Antlers,Black.Widow,Run,Spiral,The.Woman.in.the.Window,Irresistible,The.Green.Knight,Wonder.Woman.1984,Candyman,Greyhound,Soul,Minions..The.Rise.of.Gru,In.the.Heights,Top.Gun..Maverick,Free.Guy,Ghostbusters..Afterlife,Tenet,Jungle.Cruise,Morbius,Peter.Rabbit.2..The.Runaway,Connected,The.King.s.Man,Respect,No.Time.to.Die,Fast...Furious.9,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9
127963549,0.007115022,0.007472212,0.001011002,0.007607155,0.210421246,0.002960305,0.015643159,9.60E-05,0.005659585,0.002578744,0.109760189,0.00334016,0.003289175,0.071042543,0.009839327,0.00504262,0.01146647,0.003083221,0.003868513,0.007915946,0.000633773,0.007268135,0.000111391,0.001026579,0.023478808,0.006791286,0.000916806,0.002077443,0.000102477,0.00234403,0.005739325,0.010850546,0.02852408,0.420922753,3,2,5,5,5,1,4
127963573,0.138901593,0.051933869,0.000505136,7.57E-05,0.001884386,0.000541185,0.002869674,0.000108779,0.000217608,0.000250906,0.273077275,0.000864894,0.000231468,0.010956183,0.000422128,0.000118262,0.472158828,0.000590006,0.000320335,0.000128768,0.004336099,0.00039761,0.012081998,0.001093044,0.001625887,0.000575808,0.002065527,5.74E-05,0.001462165,0.000156657,0.001199966,0.000240209,0.001188343,0.017362357,1,1,4,4,4,2,8
127963657,4.52E-05,0.613071608,0.017208652,0.000458168,0.000126021,0.003271026,0.001944116,4.43E-05,0.001792648,0.007119913,0.000858914,0.001301552,0.001855468,0.000407381,0.004836204,0.000855779,0.007472561,8.69E-05,0.00214306,0.002212435,0.198868905,0.001041851,3.80E-05,0.000317471,0.011400202,0.002074243,0.058835887,0.00015512,0.00905665,0.001540502,0.001201851,0.008419696,0.011335192,0.028602501,1,3,2,1,2,7,1
127963663,0.138700267,0.247134474,0.00017093,3.98E-05,0.001526255,7.03E-05,0.002974595,0.075025569,0.000211386,5.40E-05,0.418604133,0.00011831,3.30E-05,0.000941467,5.41E-05,0.000123977,0.080032298,0.002094437,0.000332416,0.000915885,0.008464164,0.000257802,0.004864844,0.000966264,0.000939131,4.84E-05,0.011228686,4.67E-05,3.15E-05,6.53E-05,0.000490704,5.22E-05,0.0007171,0.002669704,1,1,4,4,4,5,6
127963723,0.356357216,0.009950854,0.001290478,0.00013106,0.000660938,0.000718732,1.94E-05,2.50E-06,0.000460949,0.000915743,0.457306618,0.000440309,0.000770566,0.000665771,0.00098197,0.000686902,0.074793584,0.000113033,0.003719192,0.001928568,0.001197176,0.002397218,0.067415388,0.003467641,0.000105689,0.002028154,0.001224254,0.00032858,3.19E-06,0.00045377,0.000729898,0.000482664,0.001037123,0.007214888,2,4,1,2,1,6,3
127963906,0.001357778,0.007009721,0.015743156,0.000982517,0.04806351,0.002649352,0.002739922,0.012450318,0.000332744,0.001389977,0.146899161,0.001625167,0.000323994,0.030855643,0.001582559,0.002089192,5.57E-05,0.001966935,0.005919939,0.005027054,0.11159442,0.001554013,0.000466395,0.001080957,0.000340552,0.000936132,0.001258289,0.001935273,0.012097759,0.000997375,0.000370902,0.000668364,0.002893273,0.574741989,3,2,5,5,5,1,4
127963942,1.13E-05,0.002960028,0.000412512,0.000107082,0.000219109,0.000114859,0.002147161,0.005306135,1.91E-05,0.000205337,0.019844852,0.000268378,0.000305895,6.45E-05,6.77E-05,0.000850731,0.036433747,7.77E-05,0.003271736,0.002869429,0.195769427,0.000102453,0.612376621,0.01594687,0.022167907,0.000338126,0.049271345,0.000993183,0.001434528,0.000408386,0.001220695,8.71E-05,0.002240218,0.022085805,1,3,2,6,6,8,2
127963958,0.003213044,0.20190099,0.014069889,0.00923195,0.009224509,0.007590603,0.007418291,0.014937055,0.011515389,0.019962907,0.039079651,0.034680677,0.008813058,0.010175324,0.004435183,0.038316518,0.005015813,0.181732245,0.016368285,0.128672785,0.002854658,0.007313172,0.102737555,0.004910758,0.038558667,0.01442127,0.015516306,0.009457065,0.001093214,0.01989746,0.005784203,0.003521919,0.006842535,0.00073705,1,3,2,6,7,4,5
127964275,0.005038192,0.002422999,0.000153733,0.000564787,0.078066206,0.002289605,0.005373126,0.032439483,0.000710963,0.000312861,0.007073222,0.000115941,0.000149052,9.40E-05,0.000245554,0.000353965,0.000342916,0.009360095,0.000269701,0.000726596,0.027291331,0.000119481,0.001561599,6.47E-05,0.001621376,5.01E-05,0.000431098,0.001283094,0.000785457,0.000548637,0.000420422,0.000445751,0.033623256,0.785650717,3,2,5,5,5,1,4
127964294,0.399288874,0.002805948,0.005271599,0.002354493,0.000557498,0.000406979,0.001931273,0.228769011,0.006733471,0.001702864,0.00098654,0.004045836,0.000645988,0.005279,0.002146774,0.000623816,0.001144986,0.000395114,0.000238053,0.000222935,0.002370384,0.002211365,0.004512207,0.002022789,0.095547766,0.000580657,0.028060006,0.001917974,0.002485765,0.001215271,0.001470048,0.000974435,0.005314764,0.185765516,2,4,1,2,1,6,3
